"","Postcode","Region","msoa11cd","latitude","longitude","site"
"1","AL1 3FY","East of England","E02004935",51.747,-0.326,"pharmacy"
"2","AL6 9EF","East of England","E02004981",51.830001,-0.215995,"pharmacy"
"3","AL9 7QR","East of England","E02004994",51.722259,-0.201881,"pharmacy"
"4","B1 2PZ","Midlands","E02006898",52.483603,-1.92069,"pharmacy"
"5","B10 0HH","Midlands","E02006900",52.464,-1.842,"pharmacy"
"6","B10 0UF","Midlands","E02006900",52.47134,-1.861974,"pharmacy"
"7","B10 0UU","Midlands","E02001896",52.467055,-1.849726,"pharmacy"
"8","B10 0XA","Midlands","E02006900",52.474,-1.866,"pharmacy"
"9","B11 1LU","Midlands","E02001903",52.462586,-1.871318,"pharmacy"
"10","B11 1RD","Midlands","E02001897",52.46413,-1.877216,"pharmacy"
"11","B11 3NQ","Midlands","E02006901",52.452648,-1.858707,"pharmacy"
"12","B11 4AN","Midlands","E02001908",52.451601,-1.864567,"pharmacy"
"13","B11 4LE","Midlands","E02001908",52.454337,-1.86706,"pharmacy"
"14","B12 0XE","Midlands","E02001897",52.467359,-1.888291,"pharmacy"
"15","B12 0YU","Midlands","E02001897",52.465863,-1.884865,"pharmacy"
"16","B12 8JU","Midlands","E02001903",52.455256,-1.876932,"pharmacy"
"17","B12 8SX","Midlands","E02001909",52.456504,-1.884375,"pharmacy"
"18","B16 0NL","Midlands","E02001879",52.483176,-1.945444,"pharmacy"
"19","B18 4HB","Midlands","E02001879",52.486879,-1.943598,"pharmacy"
"20","B18 4HJ","Midlands","E02001879",52.486682,-1.944217,"pharmacy"
"21","B18 6PU","Midlands","E02001875",52.489391,-1.91956,"pharmacy"
"22","B19 1HJ","Midlands","E02001866",52.505351,-1.910677,"pharmacy"
"23","B19 1HL","Midlands","E02001866",52.50634,-1.910086,"pharmacy"
"24","B19 1HL","Midlands","E02001866",52.50634,-1.910086,"pharmacy"
"25","B20 2QR","Midlands","E02001866",52.504495,-1.91912,"pharmacy"
"26","B21 9PB","Midlands","E02001860",52.511696,-1.936096,"pharmacy"
"27","B21 9RY","Midlands","E02001865",52.503056,-1.934915,"pharmacy"
"28","B21 9SN","Midlands","E02001865",52.500983,-1.92471,"pharmacy"
"29","B24 8EH","Midlands","E02001857",52.509625,-1.837632,"pharmacy"
"30","B27 7RR","Midlands","E02001924",52.444,-1.835,"pharmacy"
"31","B42 1BT","Midlands","E02001850",52.530444,-1.911348,"pharmacy"
"32","B42 1EZ","Midlands","E02001850",52.534702,-1.919817,"pharmacy"
"33","B42 1QF","Midlands","E02001850",52.528747,-1.916467,"pharmacy"
